id,item
100,b
100,f
100,h
100,i
101,a
101,e
101,g
101,i
102,a
102,b
102,c
102,h
103,f
103,i
103,g
104,a
104,c
104,e
104,i
105,a
105,b
105,i
105,d
106,a
106,d
106,f
106,h
106,i
107,b
107,h
107,i
108,a
108,c
108,d
108,e
108,i
109,b
109,c
109,d
109,h
109,i
110,i
110,f
110,e
111,a
111,c
111,h
112,a
112,d
112,i
112,g
112,f
113,i
113,d
113,g
113,c
114,a
114,d
114,e
114,h
115,a
115,i
115,h
115,d
116,i
116,f
116,g
116,b
117,a
117,h
117,d
117,f
117,c
118,b
118,c
118,h
118,i
119,d
119,g
119,i
120,i
120,c
120,h
120,a
121,a
121,f
121,g
121,h
122,b
122,c
122,d
122,g
123,c
123,f
123,i
124,a
124,f
124,h
124,i
125,e
125,f
125,h
125,i
126,i
126,a
127,b
127,e
127,f
127,i
128,a
128,b
128,d
128,i
128,g
129,b
129,c
129,e
129,h
130,c
130,g
130,f
131,b
131,c
131,e
131,g
131,i
132,a
132,i
132,c
132,f
132,b
133,i
133,f
133,h
133,d
134,a
134,b
134,d
134,e
135,g
135,h
135,i
136,h
136,d
136,a
137,b
137,i
137,g
137,h
137,c
138,b
138,c
138,d
138,h
139,a
139,b
139,i
139,e
139,d
140,h
140,i
141,b
141,f
141,h
141,i
142,a
142,i
142,c
142,d
142,b
143,b
143,c
143,i
143,e
144,b
144,d
144,h
145,a
145,b
145,i
145,h
145,f
146,b
146,i
146,e
146,d
147,c
147,e
147,i
148,a
148,b
148,d
148,g
148,f
149,c
149,f
149,i
149,h
149,g
150,a
150,c
150,g
150,i
151,a
151,b
151,c
151,e
151,g
152,b
152,e
152,g
152,h
153,b
153,h
153,e
153,c
154,e
154,i
154,g
154,f
155,a
155,c
155,d
155,e
155,g
156,a
156,b
156,c
157,b
157,d
157,h
158,d
158,e
158,f
158,h
159,a
159,b
159,h
159,f
160,c
160,e
160,h
160,i
161,i
161,d
161,g
161,b
162,a
162,d
162,f
162,i
163,a
163,e
163,f
163,i
164,d
164,h
164,g
165,a
165,f
165,i
166,a
166,d
166,i
166,g
166,f
167,a
167,c
167,e
167,i
168,e
168,f
168,h
168,g
169,f
169,i
170,f
170,i
170,c
170,a
171,c
171,g
171,h
172,i
172,c
172,e
172,g
172,f
173,h
173,a
173,b
173,e
173,g
174,c
174,i
174,e
174,h
175,a
175,d
175,g
175,h
176,b
176,a
176,i
176,c
177,i
177,b
177,f
177,h
178,c
178,e
178,b
178,d
179,b
179,f
179,g
179,i
179,e
180,d
180,g
180,h
180,a
180,b
181,h
181,c
181,b
181,i
182,i
182,b
182,c
182,g
182,d
183,c
183,e
183,g
183,i
183,a
184,e
184,g
184,d
185,a
185,b
185,c
185,g
185,d
186,b
186,c
186,d
186,f
186,g
187,i
187,e
187,c
188,i
188,e
188,f
188,d
189,b
189,e
189,f
189,i
189,h
190,d
190,a
190,e
191,b
191,e
191,h
191,i
191,a
192,b
192,d
192,i
192,f
193,b
193,g
193,i
193,a
194,b
194,h
194,i
194,e
195,h
195,f
195,a
195,e
196,d
196,h
196,b
196,f
196,i
197,e
197,d
197,i
198,e
198,f
198,b
199,e
199,g
199,h
200,f
200,i
200,a
200,c
201,i
201,b
201,c
201,g
202,i
202,g
202,d
202,h
203,e
203,c
203,h
203,d
204,a
204,g
204,i
204,f
205,d
205,e
205,f
206,c
206,f
206,h
206,d
207,a
207,e
207,i
207,d
208,d
208,i
208,c
209,c
209,e
209,i
210,e
210,i
210,h
211,c
211,d
211,f
211,i
212,d
212,f
212,g
212,h
213,f
213,g
213,i
214,g
214,c
214,d
214,b
215,a
215,e
215,f
215,h
215,i
216,a
216,i
216,g
217,i
217,g
217,h
218,e
218,g
218,i
218,a
218,b
219,h
219,i
219,a
219,e
220,b
220,g
